id,rowid,avalue,addressout,addressin,bvalue,bit_position,buttonpath,code,decimal,defaultvalue,delay,delta,description,dimension,frequency,functioncode,grpcategory,idgroup,idhsvariable,idvarmdl,idvariable,imageoff,imageon,inserttime,isactive,iscancelled,ishaccp,islogic,isonchange,lastupdate,length,maximum,measureunit,minimum,priority,readwrite,signed,todisplay,type,varencoding,detail_id,devicemodel
590ef718-7201-49e3-80e8-0e08a1aa3c27,2719,,7,7,,0,,Al_Generic_C5_L1,false,0,0,0,L1 - Compressor 5 generic alarm,16,30,,43,8,-1,60281,49852,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
e07b8a09-6c85-4187-b0f0-1f22a299a111,2720,,157,157,,0,,Al_Inv_Fan_L2,false,0,0,0,L2 - Fan inverter alarm,16,30,,48,8,-1,60283,49854,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,1,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
ee7816f3-9a3c-42af-aaca-edb56c2f5e72,2721,,107,107,,13,,Al_Rotation_C6_L2,false,0,0,0,L2 - Compressor 6 rotation alarm,16,30,,43,8,-1,60295,49866,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
4977ca87-3fd7-4974-9550-aef96fa4566c,2722,,7,7,,13,,Al_Rotation_C6_L1,false,0,0,0,L1 - Compressor 6 rotation alarm,16,30,,43,8,-1,60297,49868,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,3,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
c344bc2d-84b2-4988-9f3e-3eb54978aeee,2723,,62,62,,0,,AL_Oil_Com,false,0,0,0,L1 - Common oil alarm,16,30,,43,8,-1,60304,49876,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
3ff730c3-0bee-4784-884b-5f049edc4c0c,2724,,108,108,,0,,Al_Generic_C7_L2,false,0,0,0,L2 - Compressor 7 generic alarm,16,30,,43,8,-1,60309,49881,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
a9390a99-628d-4252-ae58-9589d9cee685,2725,,8,8,,0,,Al_Generic_C7_L1,false,0,0,0,L1 - Compressor 7 generic alarm,16,30,,43,8,-1,60310,49882,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,1,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
a9af1e1d-c154-4ba7-81d7-43ac5cbfd7e1,2726,,126,126,,0,,Al_Fan2_Or_L2,false,0,0,0,L2 - Fan 2 alarm,16,30,,48,8,-1,60313,49885,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
a54ec198-0a59-40e6-864b-41ddc0a09fe2,2727,,139,139,,0,,Al_Fan15_Or_L2,false,0,0,0,L2 - Fan 15 alarm,16,30,,48,8,-1,60315,49887,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
1352772e-e02f-45d2-bfc5-54a16cde5565,2728,,133,133,,0,,Al_Fan9_Or_L2,false,0,0,0,L2 - Fan 9 alarm,16,30,,48,8,-1,60317,49889,,,2020-04-07 14:58:30.572000,true,false,false,false,false,2020-04-07 14:58:30.572000,16,,,,2,1,true,NONE,4,,,56b0d015-5d0a-4c55-9f39-5b22d4cbbd76
